20 2
6.70602685539052 5.76342902611941 1
5.14826170168817 7.57262238766998 1
6.58194320742041 1.04330309666693 1
8.17040388705209 4.91762123070657 1
3.07851623976603 6.61329638678581 1
3.98289259523153 3.39690249646083 1
8.35753523046151 3.72541608521715 1
5.16526451567188 9.62366654770449 1
1.04106740560383 1.08165353536606 1
2.53220906248316 5.00723191536963 1
5.12723102234304 8.40509874746203 1
6.83535006828606 4.62798955850303 1
8.06836070492864 9.90906684659421 1
8.02426270209253 8.26446908991784 1
2.59958611102775 4.71436449792236 1
2.65349437948316 3.96080071106553 1
2.09051660494879 4.92806092370301 1
9.56085748504847 4.09015283221379 1
8.5934113804251 8.8030691142194 1
7.85963725298643 2.33881458407268 1
